대지위치,cctvNum,교통사고,화재,범죄,생활안전,자살,감염병,호수
강남구,6829,5,4,5,4,3,1,31487
강동구,3435,4,3,2,1,2,2,11577
강북구,3430,2,4,3,4,4,5,3764
강서구,3471,4,4,3,2,2,3,41571
관악구,4269,4,4,3,3,3,2,17149
광진구,3722,5,3,4,2,1,2,12004
구로구,4675,5,3,3,2,2,3,20668
금천구,2979,4,4,4,3,3,3,19015
노원구,2716,2,3,2,1,2,3,2755
도봉구,2196,2,4,2,2,3,4,4298
동대문구,3210,5,4,3,2,2,4,16295
동작구,2927,3,3,2,2,2,1,3201
마포구,3217,4,4,4,3,2,3,18888
서대문구,3117,4,4,2,3,2,2,8643
서초구,3343,1,3,4,2,1,1,22136
성동구,3971,4,4,2,1,3,2,5588
성북구,4181,4,3,1,2,1,4,3095
송파구,3519,3,3,2,3,1,2,28943
양천구,4064,4,3,2,1,1,2,7906
영등포구,4104,2,5,4,2,1,3,43192
용산구,2938,5,4,4,3,1,3,7762
은평구,4369,1,3,2,3,2,3,11730
종로구,2154,2,5,5,5,2,2,6621
중구,2460,4,5,5,5,3,2,8252
중랑구,4163,4,3,3,3,2,4,7222
